Mean,SE,CI25,CI975,Rhat,Bulk_ESS,Tail_ESS,Factor,Order,Significant
-0.859749207,1.237270469,-3.581937049,1.335826581,1.005232706,15422,10083,Intercept,Arabic postverbal,no
10.11488183,4.389993569,4.578171871,21.32849638,1.009468684,5403,4706,Len,Arabic postverbal,yes positive
0.663945384,0.676976763,-0.357740713,2.31130081,1.003584762,13121,7398,Semantic_closeness,Arabic postverbal,no
-1.029562618,1.646873322,-5.567197306,0.657435565,1.010015879,4972,2774,Lexical_frequency,Arabic postverbal,no
0.242252116,1.698288952,-1.680072279,5.243029955,1.008215403,6142,2718,Predictability,Arabic postverbal,no
2.922166464,2.8115411,-0.393163091,10.10291214,1.006248665,8222,4214,Pronominality,Arabic postverbal,no
0.060385656,0.114715949,-0.164473924,0.287317786,1.000325773,47070,29489,Intercept,Hebrew postverbal,no
3.517999,0.328065286,2.912811141,4.198586964,1.000712223,17948,20083,Len,Hebrew postverbal,yes positive
-0.167395284,0.112870723,-0.391787589,0.050932399,1.000570331,50075,29112,Semantic_closeness,Hebrew postverbal,no
-0.100598358,0.113055699,-0.325101866,0.120881205,1.000255288,58536,27758,Lexical_frequency,Hebrew postverbal,no
-0.298735162,0.156515878,-0.615682767,0.002125444,1.000436119,55947,27863,Predictability,Hebrew postverbal,no
2.313579622,0.435942396,1.517062974,3.221573545,1.000390813,35147,27292,Pronominality,Hebrew postverbal,yes positive
-0.070836865,0.156221304,-0.383495885,0.232275495,1.000548548,34799,23801,Intercept,Indonesian postverbal,no
1.218392595,0.256635931,0.765468889,1.777115749,1.001164225,12028,12429,Len,Indonesian postverbal,yes positive
0.216863279,0.153314499,-0.070597775,0.5319718,1.000586506,24164,20521,Semantic_closeness,Indonesian postverbal,no
0.1555423,0.151711463,-0.138563418,0.460674546,1.000672805,37389,25450,Lexical_frequency,Indonesian postverbal,no
-0.836898852,0.279028345,-1.428536572,-0.335966818,1.001493051,12766,15275,Predictability,Indonesian postverbal,yes negative
-0.864699708,0.982068864,-2.876922513,0.990219255,1.000816339,35176,24359,Pronominality,Indonesian postverbal,no
-2.680713914,3.224063373,-9.931279549,3.056819475,1.000981374,8572,10172,Intercept,Greek postverbal,no
27.50522968,13.5369512,9.631979427,60.52471316,1.002649224,5195,5326,Len,Greek postverbal,yes positive
4.917879245,3.327410462,0.176700485,12.70573557,1.001750024,9199,10296,Semantic_closeness,Greek postverbal,yes positive
-0.916294345,2.526906343,-6.68017355,3.598096394,1.001067182,12955,12041,Lexical_frequency,Greek postverbal,no
-6.131280292,4.333348374,-16.53773123,0.077826214,1.00209681,7086,7532,Predictability,Greek postverbal,no
2.64501631,7.275151291,-10.76023203,18.62723828,1.000752351,18987,18294,Pronominality,Greek postverbal,no
0.247340962,0.249086378,-0.21984869,0.769397385,1.000427578,18960,17054,Intercept,Swedish postverbal,no
2.733879954,0.47102514,1.921717448,3.766854834,1.001126179,13371,15084,Len,Swedish postverbal,yes positive
0.149787135,0.172364254,-0.181462584,0.492575793,1.000423609,38535,24492,Semantic_closeness,Swedish postverbal,no
-0.171244425,0.195540358,-0.560948097,0.220493058,1.000808126,34000,21838,Lexical_frequency,Swedish postverbal,no
-0.043135759,0.235236215,-0.501204321,0.422048958,1.000295415,39525,27169,Predictability,Swedish postverbal,no
2.352543709,0.674438624,1.179569449,3.81374411,1.001036213,13579,16323,Pronominality,Swedish postverbal,yes positive